재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_DeferredTaxLiabilities	            이연법인세부채	42,676,861,592	35,585,657,724	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_DepositsFromCustomers	            예수부채	44,405,799,412,778	43,426,191,821,882	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_DerivativeFinancialLiabilities	            파생상품부채	80,163,974,298	89,508,692,862	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_Liabilities	            부채총계	48,638,339,340,990	48,625,927,486,155	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_OtherFinancialLiabilities	            기타금융부채	1,317,189,380,516	1,448,675,333,024	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_OtherNonfinancialLiabilities	            기타부채	26,511,831,496	32,753,637,185	
 재무상태표, 은행 - 별도	[192520]	경남은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_Provisions	            충당부채	48,262,935,513	50,351,277,167	
 재무상태표, 은행 - 별도	[192530]	광주은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	dart_SecuritiesAtAmortisedCost	         상각후원가측정유가증권	2,198,543,682,932	2,317,492,916,491	
 재무상태표, 은행 - 별도	[192530]	광주은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_Assets	         자산총계	31,426,440,858,087	30,915,774,282,495	
 재무상태표, 은행 - 별도	[192530]	광주은행	기타법인	641	은행 및 저축기관	12	2025-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	         현금및현금성자산	403,348,163,350	602,644,502,637	
